n,bias,mae,rmse,median_ae,p90_ae,sd_error,loa_low,loa_high,pearson_r,within_0.2,within_0.3,within_0.5,within_1.0,Scene,max_abs_error,core_range,xiaomi_range
12,-0.6750000000000002,0.7083333333333339,0.9691061173404424,0.6999999999999993,1.3999999999999986,0.726291952316698,-2.098532226540728,0.7485322265407278,-0.7203758460875568,0.5,0.5,0.5,0.5,厚外套-遮挡,1.5,1.5,0.30000000000000426
12,-0.2583333333333311,0.625000000000003,0.688597608670455,0.5000000000000036,1.0,0.6666856057915913,-1.5650371206848501,1.048370454018188,-0.8408393901702069,0.0,0.16666666666666666,0.5,0.9166666666666666,薄外套-遮挡,1.1000000000000014,0.7000000000000028,0.8000000000000043
12,-0.3249999999999981,0.5916666666666686,0.6776183783418714,0.5500000000000043,0.9899999999999999,0.6210328640110929,-1.5422244134617402,0.8922244134617439,-0.8975197029803912,0.16666666666666666,0.5,0.5,1.0,薄外套-裸露,1.0,0.5,0.9000000000000057
13,-0.530769230769229,0.530769230769229,0.5690748227132808,0.3999999999999986,0.7999999999999972,0.2136376035276226,-0.9494989336833692,-0.1120395278550887,0.455719055031649,0.0,0.23076923076923078,0.6153846153846154,1.0,厚外套-裸露,0.7999999999999972,0.6000000000000014,0.30000000000000426
4,-0.47499999999999964,0.5250000000000004,0.650000000000001,0.5,0.9400000000000013,0.5123475382979821,-1.4792011750640446,0.5292011750640453,0.4326129116658152,0.5,0.5,0.5,1.0,通勤,1.0,0.6000000000000014,1.2000000000000028
18,-0.31111111111111156,0.5,0.5830951894845309,0.3999999999999986,0.7600000000000017,0.5074606781508119,-1.3057340402867028,0.6835118180644797,-0.1101795974619825,0.16666666666666666,0.2777777777777778,0.6111111111111112,0.9444444444444444,办公,1.4000000000000057,0.7000000000000028,1.3000000000000043
2,0.09999999999999787,0.40000000000000213,0.4123105625617676,0.40000000000000213,0.4800000000000004,0.565685424949241,-1.0087434329005145,1.2087434329005102,,0.0,0.5,1.0,1.0,运动中4,0.5,0.3999999999999986,0.4000000000000057
6,-0.11666666666666832,0.383333333333334,0.43011626335213193,0.3999999999999986,0.6000000000000014,0.45350486950711655,-1.0055362109006167,0.77220287756728,0.4686496728982392,0.3333333333333333,0.5,0.6666666666666666,1.0,玩手机等娱乐,0.6000000000000014,0.7999999999999972,1.0
2,0.05000000000000071,0.350000000000005,0.3535533905932788,0.350000000000005,0.39000000000000556,0.4949747468305903,-0.9201505037879563,1.0201505037879577,,0.0,0.5,1.0,1.0,运动中5,0.4000000000000057,0.30000000000000426,0.4000000000000057
2,-0.05000000000000071,0.350000000000005,0.3535533905932788,0.350000000000005,0.39000000000000556,0.4949747468305903,-1.0201505037879577,0.9201505037879563,,0.0,0.5,1.0,1.0,运动中6,0.4000000000000057,0.30000000000000426,0.4000000000000057
2,0.10000000000000142,0.30000000000000426,0.31622776601684244,0.30000000000000426,0.3800000000000054,0.42426406871193456,-0.7315575746753903,0.9315575746753931,,0.5,0.5,1.0,1.0,运动前,0.4000000000000057,0.4000000000000057,0.20000000000000284
2,-0.10000000000000142,0.30000000000000426,0.31622776601684244,0.30000000000000426,0.3800000000000054,0.42426406871193456,-0.9315575746753931,0.7315575746753903,,0.5,0.5,1.0,1.0,运动后1,0.4000000000000057,0.20000000000000284,0.4000000000000057
2,0.3000000000000007,0.3000000000000007,0.31622776601684016,0.3000000000000007,0.38000000000000467,0.14142135623731653,0.022814141774860353,0.577185858225141,,0.5,0.5,1.0,1.0,运动中3,0.4000000000000057,0.30000000000000426,0.09999999999999432
2,-0.09999999999999787,0.3000000000000007,0.31622776601683794,0.3000000000000007,0.379999999999999,0.4242640687119295,-0.9315575746753797,0.731557574675384,,0.5,0.5,1.0,1.0,进食,0.3999999999999986,0.29999999999999716,0.8999999999999986
1,-0.29999999999999716,0.29999999999999716,0.29999999999999716,0.29999999999999716,0.29999999999999716,,,,,0.0,1.0,1.0,1.0,躺床,0.29999999999999716,0.0,0.0
2,0.25,0.25,0.3535533905932738,0.25,0.45,0.3535533905932738,-0.44296464556281656,0.9429646455628166,,0.5,0.5,1.0,1.0,运动中2,0.5,0.5,0.0
2,0.20000000000000284,0.20000000000000284,0.28284271247462306,0.20000000000000284,0.3600000000000051,0.28284271247462306,-0.35437171645025833,0.754371716450264,,0.5,0.5,1.0,1.0,运动中1,0.4000000000000057,0.4000000000000057,0.0
1,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,,,,,1.0,1.0,1.0,1.0,摘表前,0.20000000000000284,0.0,0.0
2,-0.05000000000000071,0.15000000000000213,0.15811388300842122,0.15000000000000213,0.1900000000000027,0.21213203435596728,-0.46577878733769656,0.36577878733769514,,1.0,1.0,1.0,1.0,运动后2,0.20000000000000284,0.0,0.30000000000000426
2,-0.05000000000000071,0.15000000000000213,0.15811388300842122,0.15000000000000213,0.1900000000000027,0.21213203435596728,-0.46577878733769656,0.36577878733769514,,1.0,1.0,1.0,1.0,运动后3,0.20000000000000284,0.0,0.30000000000000426
2,-0.05000000000000071,0.15000000000000213,0.15811388300842122,0.15000000000000213,0.1900000000000027,0.21213203435596728,-0.46577878733769656,0.36577878733769514,,1.0,1.0,1.0,1.0,运动后4,0.20000000000000284,0.0,0.30000000000000426
2,-0.05000000000000071,0.15000000000000213,0.15811388300842122,0.15000000000000213,0.1900000000000027,0.21213203435596728,-0.46577878733769656,0.36577878733769514,,1.0,1.0,1.0,1.0,运动后5,0.20000000000000284,0.0,0.30000000000000426
2,0.0,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.14142135623731153,-0.2771858582251306,0.2771858582251306,,1.0,1.0,1.0,1.0,运动后6,0.10000000000000142,0.10000000000000142,0.30000000000000426
